id,url,title,soustitre,authors,date,date_raw,reported_comment_count,captured_comment_count,raw_html_path
14,https://ecrivanalyse.net/spip.php?article14,Pour avoir une première idée,Un certain mémoire... incertain...,Ivan Joseph,2009-11-02T00:00:00,"Lundi 2 novembre 2009, par Ivan Joseph // ÉOK",,0,raw/articles/article14.html
118,https://ecrivanalyse.net/spip.php?article118,Une inscription à la lettre de diffusion...,,Écrivanalyse,2006-06-24T00:00:00,"Samedi 24 juin 2006, par Écrivanalyse // Contact et lettre de diffusion",,0,raw/articles/article118.html
123,https://ecrivanalyse.net/spip.php?article123,La Dédicace,Un hommage en forme... Dommage !,Ivan Joseph,2009-11-02T00:00:00,"Lundi 2 novembre 2009, par Ivan Joseph // a.- Des Éditions Omar Kaczmar d’hier...",,0,raw/articles/article123.html
124,https://ecrivanalyse.net/spip.php?article124,Chant Brian,L’UNITÉ IMAGINAIRE I,Ivan Joseph,2009-11-02T00:00:00,"Lundi 2 novembre 2009, par Ivan Joseph // a.- Des Éditions Omar Kaczmar d’hier...",,0,raw/articles/article124.html
125,https://ecrivanalyse.net/spip.php?article125,Livre d’eux (le fait d’attendre),L’UNITÉ IMAGINAIRE II,Ivan Joseph,2009-11-02T00:00:00,"Lundi 2 novembre 2009, par Ivan Joseph // a.- Des Éditions Omar Kaczmar d’hier...",,0,raw/articles/article125.html
127,https://ecrivanalyse.net/spip.php?article127,L’éprœuvre de réaliuté,La littérature de mémoire contemporaine...,Ivan Joseph,2009-11-02T00:00:00,"Lundi 2 novembre 2009, par Ivan Joseph // b.- ... aux Éditions Œuvres Komplètes d’aujourd’hui",,0,raw/articles/article127.html
129,https://ecrivanalyse.net/spip.php?article129,1.- Introduction,,Perrine Tamerlis,2009-10-31T00:00:00,"Samedi 31 octobre 2009, par Perrine Tamerlis // Qu’est-ce que l’écrivanalyse ?",,0,raw/articles/article129.html
130,https://ecrivanalyse.net/spip.php?article130,2.- Une expérience de création littéraire...,,Perrine Tamerlis,2009-10-31T00:00:00,"Samedi 31 octobre 2009, par Perrine Tamerlis // Qu’est-ce que l’écrivanalyse ?",,0,raw/articles/article130.html
131,https://ecrivanalyse.net/spip.php?article131,3.- ... d’inspiration psychanalytique,,Perrine Tamerlis,2009-10-31T00:00:00,"Samedi 31 octobre 2009, par Perrine Tamerlis // Qu’est-ce que l’écrivanalyse ?",,0,raw/articles/article131.html
132,https://ecrivanalyse.net/spip.php?article132,"4.- Un espace, un temps, un prix",,Perrine Tamerlis,2009-10-31T00:00:00,"Samedi 31 octobre 2009, par Perrine Tamerlis // Qu’est-ce que l’écrivanalyse ?",,0,raw/articles/article132.html
134,https://ecrivanalyse.net/spip.php?article134,5.- Rythme hebdomadaire d’une écrivanalyse-type,,Perrine Tamerlis,2009-10-31T00:00:00,"Samedi 31 octobre 2009, par Perrine Tamerlis // Qu’est-ce que l’écrivanalyse ?",,0,raw/articles/article134.html
136,https://ecrivanalyse.net/spip.php?article136,Et pour tout renseignement complémentaire...,,Écrivanalyse,2007-02-08T00:00:00,"Jeudi 8 février 2007, par Écrivanalyse // Contact et lettre de diffusion",,0,raw/articles/article136.html
143,https://ecrivanalyse.net/spip.php?article143,En sainte,,Annick Lebédyk | Ivan Joseph,2009-11-02T00:00:00,"Lundi 2 novembre 2009, par Annick Lebédyk , Ivan Joseph // La petite fille à côté",,0,raw/articles/article143.html
149,https://ecrivanalyse.net/spip.php?article149,Un air d’apparente,,Annick Lebédyk | Ivan Joseph,2009-11-02T00:00:00,"Lundi 2 novembre 2009, par Annick Lebédyk , Ivan Joseph // La petite fille à côté",,0,raw/articles/article149.html
151,https://ecrivanalyse.net/spip.php?article151,Contrite contrainte,,Annick Lebédyk | Ivan Joseph,2009-11-07T00:00:00,"Samedi 7 novembre 2009, par Annick Lebédyk , Ivan Joseph // La petite fille à côté",,0,raw/articles/article151.html
154,https://ecrivanalyse.net/spip.php?article154,La maison dans la maison,,Annick Lebédyk | Ivan Joseph,2009-11-27T00:00:00,"Vendredi 27 novembre 2009, par Annick Lebédyk , Ivan Joseph // La petite fille à côté",,0,raw/articles/article154.html
158,https://ecrivanalyse.net/spip.php?article158,Faute d’obéir,,Annick Lebédyk | Ivan Joseph,2009-12-08T00:00:00,"Mardi 8 décembre 2009, par Annick Lebédyk , Ivan Joseph // La petite fille à côté",,0,raw/articles/article158.html
162,https://ecrivanalyse.net/spip.php?article162,Tous des champions !,,Annick Lebédyk | Ivan Joseph,2009-12-13T00:00:00,"Dimanche 13 décembre 2009, par Annick Lebédyk , Ivan Joseph // La petite fille à côté",,0,raw/articles/article162.html
164,https://ecrivanalyse.net/spip.php?article164,Label bête,,Anna | Ivan Joseph,2009-12-23T00:00:00,"Mercredi 23 décembre 2009, par Anna , Ivan Joseph // La danseuse de vélo",,0,raw/articles/article164.html
167,https://ecrivanalyse.net/spip.php?article167,Germe,,Anna | Ivan Joseph,2009-12-25T00:00:00,"Vendredi 25 décembre 2009, par Anna , Ivan Joseph // La danseuse de vélo",,0,raw/articles/article167.html
168,https://ecrivanalyse.net/spip.php?article168,Au rythme du temps,,Anna | Ivan Joseph,2009-12-28T00:00:00,"Lundi 28 décembre 2009, par Anna , Ivan Joseph // La danseuse de vélo",,0,raw/articles/article168.html
169,https://ecrivanalyse.net/spip.php?article169,Por una cabeza,,Anna | Ivan Joseph,2010-01-03T00:00:00,"Dimanche 3 janvier 2010, par Anna , Ivan Joseph // La danseuse de vélo",,0,raw/articles/article169.html
170,https://ecrivanalyse.net/spip.php?article170,La danse du nom,,Anna | Ivan Joseph,2010-01-13T00:00:00,"Mercredi 13 janvier 2010, par Anna , Ivan Joseph // La danseuse de vélo",,0,raw/articles/article170.html
